symbol,company_name,sector,isin
RELIANCE,Reliance Industries Ltd,Oil & Gas,INE002A01018
TCS,Tata Consultancy Services Ltd,Information Technology,INE467B01029
HDFCBANK,HDFC Bank Ltd,Financial Services,INE040A01034
INFY,Infosys Ltd,Information Technology,INE009A01021
ICICIBANK,ICICI Bank Ltd,Financial Services,INE090A01021
HINDUNILVR,Hindustan Unilever Ltd,Fast Moving Consumer Goods,INE030A01027
ITC,ITC Ltd,Fast Moving Consumer Goods,INE154A01025
SBIN,State Bank of India,Financial Services,INE062A01020
BHARTIARTL,Bharti Airtel Ltd,Telecommunication,INE397D01024
KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services,INE237A01028
LT,Larsen & Toubro Ltd,Construction,INE018A01030
AXISBANK,Axis Bank Ltd,Financial Services,INE238A01034
ASIANPAINT,Asian Paints Ltd,Consumer Durables,INE021A01026
MARUTI,Maruti Suzuki India Ltd,Automobile and Auto Components,INE585B01010
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare,INE044A01036
TITAN,Titan Company Ltd,Consumer Durables,INE280A01028
BAJFINANCE,Bajaj Finance Ltd,Financial Services,INE296A01024
TATAMOTORS,Tata Motors Ltd,Automobile and Auto Components,INE155A01022
ULTRACEMCO,UltraTech Cement Ltd,Construction Materials,INE481G01011
NTPC,NTPC Ltd,Power,INE733E01010
M&M,Mahindra & Mahindra Ltd,Automobile and Auto Components,INE101A01026
POWERGRID,Power Grid Corporation of India Ltd,Power,INE752E01010
TATASTEEL,Tata Steel Ltd,Metals & Mining,INE081A01020
HCLTECH,HCL Technologies Ltd,Information Technology,INE860A01027
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,INE918I01026
WIPRO,Wipro Ltd,Information Technology,INE075A01022
ONGC,Oil and Natural Gas Corporation Ltd,Oil & Gas,INE213A01029
COALINDIA,Coal India Ltd,Oil & Gas,INE522F01014
JSWSTEEL,JSW Steel Ltd,Metals & Mining,INE019A01038
ADANIENT,Adani Enterprises Ltd,Metals & Mining,INE423A01024
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Services,INE742F01042
GRASIM,Grasim Industries Ltd,Construction Materials,INE047A01021
TECHM,Tech Mahindra Ltd,Information Technology,INE669C01036
HINDALCO,Hindalco Industries Ltd,Metals & Mining,INE038A01020
INDUSINDBK,IndusInd Bank Ltd,Financial Services,INE095A01012
CIPLA,Cipla Ltd,Healthcare,INE059A01026
DRREDDY,Dr. Reddy's Laboratories Ltd,Healthcare,INE089A01023
TATACONSUM,Tata Consumer Products Ltd,Fast Moving Consumer Goods,INE192A01025
DIVISLAB,Divi's Laboratories Ltd,Healthcare,INE361B01024
EICHERMOT,Eicher Motors Ltd,Automobile and Auto Components,INE066A01021
BPCL,Bharat Petroleum Corporation Ltd,Oil & Gas,INE029A01011
BRITANNIA,Britannia Industries Ltd,Fast Moving Consumer Goods,INE216A01030
NESTLEIND,Nestle India Ltd,Fast Moving Consumer Goods,INE239A01024
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,Healthcare,INE437A01024
HEROMOTOCO,Hero MotoCorp Ltd,Automobile and Auto Components,INE158A01026
BAJAJ-AUTO,Bajaj Auto Ltd,Automobile and Auto Components,INE917I01010
SHRIRAMFIN,Shriram Finance Ltd,Financial Services,INE721A01013
BEL,Bharat Electronics Ltd,Capital Goods,INE263A01024
TRENT,Trent Ltd,Consumer Services,INE849A01020
SBILIFE,SBI Life Insurance Company Ltd,Financial Services,INE123W01016
